body_length,contains_lol,contains_omg,contains_attached,contains_attachment,contains_order_confirmation,contains_payment_summary,sender_has_common_domain,is_personal,label_0shot,correct_0shot,label_fewshot,correct_fewshot
1529,False,False,False,False,False,False,False,True,False,False,False,False
23901,False,True,False,False,False,False,True,True,False,False,True,True
1616,False,False,False,False,False,False,False,False,False,True,False,True
1164,False,False,False,False,False,False,True,False,False,True,False,True
16654,False,False,False,False,False,False,False,False,False,True,False,True
78,False,False,False,False,False,False,True,False,False,True,False,True
2550,False,False,False,False,False,False,False,False,False,True,False,True
2452,False,False,False,False,False,False,False,False,False,True,False,True
1737,False,False,False,False,False,False,False,False,False,True,False,True
1542,False,False,False,False,False,False,False,False,False,True,False,True
1107,False,False,False,False,False,False,False,False,False,True,False,True
1641,False,False,False,False,False,False,False,False,False,True,False,True
1713,False,False,False,False,False,False,False,False,False,True,False,True
1737,False,False,False,False,False,False,False,False,False,True,False,True
1074,False,False,False,False,False,False,False,False,False,True,False,True
4451,True,False,False,False,False,False,False,False,False,True,False,True
21592,False,False,False,False,False,False,False,False,False,True,False,True
9581,False,False,False,False,False,False,False,False,False,True,False,True
4086,False,False,False,False,False,False,False,False,False,True,False,True
11073,False,False,False,False,False,False,False,False,False,True,False,True
1456,False,False,False,False,False,False,False,False,False,True,False,True
720,False,False,False,False,False,False,False,False,False,True,False,True
2422,False,False,False,False,False,False,False,False,False,True,False,True
3766,False,True,False,False,False,False,False,False,False,True,False,True
1477,False,False,False,False,False,False,False,False,False,True,False,True
2712,False,False,False,False,False,False,False,False,False,True,False,True
2295,False,False,False,False,False,False,False,False,False,True,False,True
2841,False,False,False,False,False,False,False,False,False,True,False,True
3427,False,False,False,False,False,False,False,False,False,True,False,True
2872,False,False,False,False,False,False,True,False,False,True,False,True
2490,False,False,False,False,False,False,False,False,False,True,False,True
677,False,False,False,False,False,False,False,False,False,True,False,True
2283,False,False,False,False,False,False,False,False,False,True,False,True
528,False,False,False,False,False,False,False,False,False,True,False,True
3338,False,False,False,False,False,False,True,False,False,True,False,True
2983,False,False,False,False,False,False,True,False,False,True,False,True
3,False,False,False,False,False,False,False,False,False,True,False,True
4790,True,True,False,False,False,False,True,False,False,True,True,False
3,False,False,False,False,False,False,True,False,False,True,False,True
25289,False,False,False,False,False,False,False,False,False,True,False,True
58,False,False,False,False,False,False,True,False,False,True,True,False
1947,False,False,True,False,False,False,True,False,False,True,False,True
883,False,False,False,False,False,False,False,False,False,True,False,True
855,False,False,False,False,False,False,False,False,False,True,False,True
2035,False,False,False,False,False,False,False,False,False,True,False,True
2424,False,False,False,False,False,False,False,False,False,True,False,True
605,False,False,False,False,False,True,False,False,False,True,False,True
612,False,False,False,False,False,True,False,False,False,True,False,True
617,False,False,False,False,False,True,False,False,False,True,False,True
615,False,False,False,False,False,True,False,False,False,True,False,True
617,False,False,False,False,False,True,False,False,False,True,False,True
3975,False,False,False,False,False,False,False,False,False,True,False,True
616,False,False,False,False,False,True,False,False,False,True,False,True
6167,False,False,False,False,False,False,False,False,False,True,False,True
615,False,False,False,False,False,True,False,False,False,True,False,True
613,False,False,False,False,False,True,False,False,False,True,False,True
607,False,False,False,False,False,True,False,False,False,True,False,True
636,False,False,False,False,False,True,False,False,False,True,False,True
633,False,False,False,False,False,True,False,False,False,True,False,True
635,False,False,False,False,False,True,False,False,False,True,False,True
3017,False,False,False,False,False,False,False,False,False,True,False,True
3017,False,False,False,False,False,False,False,False,False,True,False,True
637,False,False,False,False,False,True,False,False,False,True,False,True
644,False,False,False,False,False,True,False,False,False,True,False,True
18824,False,False,False,False,False,False,False,False,False,True,False,True
647,False,False,False,False,False,True,False,False,False,True,False,True
9982,False,False,False,False,False,False,False,False,False,True,False,True
1333,False,False,False,False,False,False,False,False,False,True,False,True
9158,False,False,False,False,False,False,False,False,False,True,False,True
645,False,False,False,False,False,True,False,False,False,True,False,True
9573,False,False,False,False,False,False,False,False,False,True,False,True
20297,False,False,False,False,False,False,False,False,False,True,False,True
10222,False,False,False,False,False,False,False,False,False,True,False,True
647,False,False,False,False,False,True,False,False,False,True,False,True
7078,False,False,False,False,False,False,False,False,False,True,False,True
646,False,False,False,False,False,True,False,False,False,True,False,True
3926,False,False,False,False,False,False,False,False,False,True,False,True
1276,False,False,False,False,False,False,False,False,False,True,False,True
4223,False,False,False,False,False,False,False,False,False,True,False,True
645,False,False,False,False,False,True,False,False,False,True,False,True
3627,False,False,False,False,False,False,False,False,False,True,False,True
1148,False,False,False,False,False,False,False,False,False,True,False,True
3825,False,False,False,False,False,False,False,False,False,True,False,True
644,False,False,False,False,False,True,False,False,False,True,False,True
18682,False,False,False,False,False,False,False,False,False,True,False,True
638,False,False,False,False,False,True,False,False,False,True,False,True
5736,False,False,False,False,False,False,False,False,False,True,False,True
9269,False,False,False,False,False,False,False,False,False,True,False,True
9326,False,False,False,False,False,False,False,False,False,True,False,True
11111,False,False,False,False,False,False,False,False,False,True,False,True
636,False,False,False,False,False,True,False,False,False,True,False,True
3200,False,False,False,False,False,False,False,False,False,True,False,True
11024,False,False,False,False,False,False,False,False,False,True,False,True
633,False,False,False,False,False,True,False,False,False,True,False,True
14645,False,False,False,False,False,False,False,False,False,True,False,True
14231,False,False,False,False,False,False,False,False,False,True,False,True
635,False,False,False,False,False,True,False,False,False,True,False,True
2439,False,False,False,False,False,False,False,False,False,True,False,True
2439,False,False,False,False,False,False,False,False,False,True,False,True
14950,False,False,False,False,False,False,False,False,False,True,False,True
25518,False,False,False,False,False,False,False,False,False,True,False,True
17292,False,False,False,False,False,False,False,False,False,True,False,True
22354,False,False,False,False,False,False,False,False,False,True,False,True
637,False,False,False,False,False,True,False,False,False,True,False,True
30169,False,False,False,False,False,False,False,False,False,True,False,True
2464,False,False,False,False,False,False,False,False,False,True,False,True
535,False,False,False,False,False,False,False,False,False,True,False,True
31044,False,False,False,False,False,False,False,False,False,True,False,True
37546,False,False,False,False,False,False,False,False,False,True,False,True
2463,False,False,False,False,False,False,False,False,False,True,False,True
22601,False,False,False,False,False,False,False,False,False,True,False,True
15373,False,False,False,False,False,False,False,False,False,True,False,True
11570,False,False,False,False,False,False,False,False,False,True,False,True
2812,False,False,False,False,False,False,False,False,False,True,False,True
21623,False,False,False,False,False,False,False,False,False,True,False,True
18536,False,False,False,False,False,False,False,False,False,True,False,True
23076,False,False,False,False,False,False,False,False,False,True,False,True
2464,False,False,False,False,False,False,False,False,False,True,False,True
13046,False,False,False,False,False,False,False,False,False,True,False,True
12586,False,False,False,False,False,False,False,False,False,True,False,True
2459,False,False,False,False,False,False,False,False,False,True,False,True
15562,False,False,False,False,False,False,False,False,False,True,False,True
2460,False,False,False,False,False,False,False,False,False,True,False,True
28681,False,False,False,False,False,False,False,False,False,True,False,True
3185,False,False,False,False,False,False,False,False,False,True,False,True
33824,False,False,False,False,False,False,False,False,False,True,False,True
2455,False,False,False,False,False,False,False,False,False,True,False,True
27622,False,False,False,False,False,False,False,False,False,True,False,True
25305,False,False,False,False,False,False,False,False,False,True,False,True
2452,False,False,False,False,False,False,False,False,False,True,False,True
3248,False,False,False,False,False,False,False,False,False,True,False,True
501,False,False,False,False,False,False,False,False,False,True,False,True
14414,False,False,False,False,False,False,False,False,False,True,False,True
14563,False,False,False,False,False,False,False,False,False,True,False,True
20847,False,False,False,False,False,False,False,False,False,True,False,True
2450,False,False,False,False,False,False,False,False,False,True,False,True
20246,False,False,False,False,False,False,False,False,False,True,False,True
21494,False,False,False,False,False,False,False,False,False,True,False,True
15083,False,False,False,False,False,False,False,False,False,True,False,True
2448,False,False,False,False,False,False,False,False,False,True,False,True
13933,False,False,False,False,False,False,False,False,False,True,False,True
11642,False,False,False,False,False,False,False,False,False,True,False,True
2456,False,False,False,False,False,False,False,False,False,True,False,True
2450,False,False,False,False,False,False,False,False,False,True,False,True
2456,False,False,False,False,False,False,False,False,False,True,False,True
19151,False,False,False,False,False,False,False,False,False,True,False,True
20385,False,False,False,False,False,False,False,False,False,True,False,True
2453,False,False,False,False,False,False,False,False,False,True,False,True
12549,False,False,False,False,False,False,False,False,False,True,False,True
27430,False,False,False,False,False,False,False,False,False,True,False,True
11894,False,False,False,False,False,False,False,False,False,True,False,True
25131,False,False,False,False,False,False,False,False,False,True,False,True
